year,intensity
1970,28217
1971,28154.2
1972,28091.5
1973,28028.9
1974,27966.4
1975,27917.2
1976,27875.6
1977,27834.1
1978,27792.9
1979,27751.9
1980,27701
1981,27644.9
1982,27589.1
1983,27533.4
1984,27478
1985,27422.4
1986,27367
1987,27311.8
1988,27256.8
1989,27202.1
1990,27142.4
1991,27079.9
1992,27017.8
1993,26955.9
1994,26894.3
1995,26833.2
1996,26772.4
1997,26711.8
1998,26651.4
1999,26591.2
2000,26531.2
2001,26463.8
2002,26396.7
2003,26329.7
2004,26262.9
2005,26190.8
2006,26116
2007,26041.4
2008,25967.2
2009,25893.2
2010,25813.9
2011,25732
2012,25650.5
2013,25569.4
2014,25488.7
2015,25411.3
2016,25336
2017,25261.2
2018,25186.8
2019,25113
2020,25042.9
2021,24975.1
