year,intensity
1970,24393
1971,24344
1972,24294
1973,24245
1974,24196
1975,24153
1976,24110
1977,24068
1978,24027
1979,23985
1980,23941
1981,23896
1982,23852
1983,23808
1984,23764
1985,23719
1986,23675
1987,23630
1988,23586
1989,23543
1990,23505
1991,23470
1992,23434
1993,23399
1994,23365
1995,23324
1996,23282
1997,23240
1998,23199
1999,23158
2000,23117
2001,23076
2002,23036
2003,22996
2004,22957
2005,22917
2006,22877
2007,22837
2008,22798
2009,22759
2010,22714
2011,22667
2012,22621
2013,22576
2014,22531
2015,22494
2016,22458
2017,22423
2018,22388
2019,22354
2020,22321
