year,intensity
1950,25511.1
1951,25466.6
1952,25422.3
1953,25378
1954,25333.9
1955,25266.1
1956,25193.6
1957,25121.3
1958,25049.1
1959,24977.1
1960,24920.6
1961,24867.5
1962,24814.7
1963,24762.2
1964,24710
1965,24656.7
1966,24603.3
1967,24550.1
1968,24497.1
1969,24444.3
1970,24393.9
1971,24344.2
1972,24294.8
1973,24245.6
1974,24196.6
1975,24153
1976,24110.8
1977,24068.7
1978,24027
1979,23985.6
1980,23941.2
1981,23896.4
1982,23852
1983,23808
1984,23764.4
1985,23719.7
1986,23675.1
1987,23630.7
1988,23586.7
1989,23543
1990,23505.7
1991,23470
1992,23434.7
1993,23399.7
1994,23365
1995,23324.2
1996,23282.3
1997,23240.6
1998,23199.3
1999,23158.4
2000,23117.2
2001,23076.8
2002,23036.6
2003,22996.8
2004,22957.3
2005,22917.1
2006,22877.1
2007,22837.5
2008,22798.2
2009,22759.4
2010,22714
2011,22667.8
2012,22621.9
2013,22576.6
2014,22531.6
2015,22494
2016,22458.4
2017,22423.3
2018,22388.7
2019,22354.7
2020,22321.3
2021,22288.4
