year,intensity
1970,51902.3
1971,51830.1
1972,51758
1973,51686
1974,51614.2
1975,51517
1976,51406.9
1977,51296.9
1978,51187.1
1979,51077.3
1980,50986.5
1981,50905.4
1982,50824.4
1983,50743.4
1984,50662.5
1985,50581.8
1986,50501.2
1987,50420.6
1988,50340.1
1989,50259.7
1990,50187.6
1991,50119.7
1992,50051.8
1993,49984
1994,49916.3
1995,49821.1
1996,49712
1997,49603
1998,49494.1
1999,49385.2
2000,49276
2001,49154.1
2002,49032.4
2003,48910.7
2004,48789.1
2005,48667.7
2006,48546.3
2007,48425.1
2008,48304.1
2009,48183.1
2010,48059.7
2011,47935.3
2012,47810.9
2013,47686.6
2014,47562.4
2015,47443.4
2016,47327.2
2017,47211.1
2018,47095
2019,46979.1
2020,46863
2021,46746.8
