decimalLongitude,decimalLatitude,individualCount
-57,-25,1.8881283927307055
-62,-30,0.04720320981826764
-46,-1,0.4720320981826764
-73,-38,0.02360160490913382
-54,-34,11.800802454566911
-56,-34,0.02360160490913382
-50,-31,0.5900401227283456
-50,-31,0.04720320981826764
-48,-27,0.02360160490913382
-49,-28,0.14160962945480293
-71,-16,0.02360160490913382
-50,-31,1.3688930847297616
-71,-29,0.02360160490913382
-70,-18,0.07080481472740147
-57,-25,0.18881283927307055
-59,-22,0.02360160490913382
-57,-25,1.8881283927307055
-70,-18,0.04720320981826764
-62,-30,0.02360160490913382
-70,-53,0.02360160490913382
-70,-18,0.14160962945480293
-70,-18,0.02360160490913382
-48,-28,0.02360160490913382
-49,-28,0.14160962945480293
-76,-13,0.02360160490913382
-54,-34,0.02360160490913382
-57,-25,0.1180080245456691
-55,-34,0.02360160490913382
-56,-34,0.02360160490913382
-56,-36,0.2360160490913382
-70,-27,0.04720320981826764
-56,-36,0.02360160490913382
-62,-30,0.09440641963653527
-56,-36,0.2360160490913382
-70,-18,0.2124144441822044
-61,-16,0.02360160490913382
-70,-18,0.04720320981826764
-70,-53,0.02360160490913382
-46,-1,0.4720320981826764
-50,-31,0.02360160490913382
-56,-36,0.02360160490913382
-46,-1,0.4720320981826764
-70,-53,0.02360160490913382
-56,-36,0.02360160490913382
-56,-36,0.02360160490913382
-56,-36,0.02360160490913382
-71,-29,0.04720320981826764
-51,-31,4.720320981826765
-57,-25,0.1180080245456691
-56,-20,0.02360160490913382
-54,-32,0.259617654000472
-56,-36,0.7080481472740147
-50,-31,4.838329006372433
-57,-25,0.04720320981826764
-79,-1,0.04720320981826764
-54,-32,0.02360160490913382
-66,-17,0.02360160490913382
-70,-18,0.02360160490913382
-58,4,0.02360160490913382
-70,-15,0.07080481472740147
-76,-13,0.04720320981826764
-71,-12,0.02360160490913382
-70,-53,0.02360160490913382
-49,-28,0.14160962945480293
-56,-36,0.7080481472740147
-66,-20,0.2360160490913382
-54,-26,0.07080481472740147
-56,-36,1.1800802454566912
-68,-14,0.02360160490913382
-50,-31,0.5900401227283456
-70,-18,0.09440641963653527
-56,-36,0.02360160490913382
-71,-32,0.02360160490913382
-49,-28,1.1800802454566912
-50,-31,1.1328770356384235
-69,-2,0.04720320981826764
-54,-34,0.02360160490913382
-70,-53,0.02360160490913382
-55,-34,0.02360160490913382
-56,-36,0.02360160490913382
-56,-36,0.02360160490913382
-71,-16,0.02360160490913382
-56,-36,0.2124144441822044
-50,-31,1.062072220911022
-50,-31,0.18881283927307055
-70,-18,0.14160962945480293
-50,-31,0.7316497521831484
-77,-12,0.02360160490913382
-71,-33,0.02360160490913382
-73,-38,0.02360160490913382
-80,-2,0.02360160490913382
-75,-12,0.02360160490913382
-56,-36,0.9440641963653528
-71,-13,0.02360160490913382
-57,-25,0.6136417276374794
-71,-29,0.02360160490913382
-51,-31,7.080481472740146
-73,-38,0.02360160490913382
-57,-25,0.1180080245456691
-50,-31,0.02360160490913382
-50,-31,0.2360160490913382
-70,-53,0.02360160490913382
-72,-34,0.02360160490913382
-60,-30,0.1180080245456691
-76,3,0.09440641963653527
-70,-33,0.02360160490913382
-69,-21,0.02360160490913382
-80,-2,0.02360160490913382
-56,-36,0.4720320981826764
-71,-32,0.02360160490913382
-70,-18,0.02360160490913382
-57,-25,0.2124144441822044
-54,-2,0.02360160490913382
-70,-18,0.02360160490913382
-50,-31,1.1800802454566912
-49,-28,0.02360160490913382
-69,-13,0.04720320981826764
-50,-31,1.8645267878215719
-56,-34,0.02360160490913382
-58,-33,0.02360160490913382
-68,-14,0.02360160490913382
-57,-35,5.451970734009913
-54,-26,0.1180080245456691
-71,-29,0.02360160490913382
-62,-40,0.02360160490913382
-55,-34,0.02360160490913382
-50,-31,2.3601604909133824
-57,-37,0.02360160490913382
-66,-22,0.35402407363700733
-56,-31,0.02360160490913382
-54,-34,0.02360160490913382
-70,-33,0.02360160490913382
-71,-32,0.02360160490913382
-70,-18,0.09440641963653527
-50,-31,0.02360160490913382
-52,-32,0.02360160490913382
-57,-25,1.8881283927307055
-70,-12,0.02360160490913382
-73,-38,0.02360160490913382
-53,-33,0.28321925890960586
-49,-28,1.1800802454566912
-71,-17,0.02360160490913382
-70,-18,0.14160962945480293
-62,-30,0.09440641963653527
-51,-31,2.9738022185508615
-70,-33,0.02360160490913382
-49,-28,0.02360160490913382
-69,-21,0.02360160490913382
-80,-2,0.02360160490913382
-50,-31,0.5900401227283456
-70,-18,0.09440641963653527
-71,-17,0.02360160490913382
-58,-33,0.02360160490913382
-71,-29,0.02360160490913382
-57,-25,0.18881283927307055
-56,-31,0.02360160490913382
-70,-18,0.09440641963653527
-53,-34,0.02360160490913382
-60,-3,0.04720320981826764
-71,-33,0.02360160490913382
-49,-28,0.14160962945480293
-50,-31,4.083077649280151
-60,-28,0.02360160490913382
-76,-12,0.02360160490913382
-71,-13,0.02360160490913382
-72,-13,0.02360160490913382
-50,-31,2.8321925890960586
-60,-30,1.062072220911022
-54,-34,0.02360160490913382
-55,-34,0.02360160490913382
-71,-32,0.02360160490913382
-50,-31,0.02360160490913382
-69,-21,0.02360160490913382
-54,-34,0.259617654000472
-49,-28,0.02360160490913382
-80,-2,0.02360160490913382
-50,-31,2.3601604909133824
-70,-27,0.04720320981826764
-54,-34,2.1949492565494455
-50,-31,0.2124144441822044
-49,-28,0.14160962945480293
-70,-18,0.09440641963653527
-68,-14,0.02360160490913382
-50,-31,0.7080481472740147
-70,-18,0.1180080245456691
-58,4,0.02360160490913382
-57,-25,0.02360160490913382
-70,-18,0.02360160490913382
-56,-36,0.5900401227283456
-56,-36,0.02360160490913382
-70,-18,0.04720320981826764
-57,-36,0.02360160490913382
-71,-16,0.02360160490913382
-69,-2,0.04720320981826764
-50,-31,0.7552513570922822
-45,-23,0.02360160490913382
-57,-25,0.28321925890960586
-70,-18,0.14160962945480293
-71,-33,0.02360160490913382
-71,-32,0.02360160490913382
-60,-30,0.1180080245456691
-71,-32,0.02360160490913382
-70,-18,0.18881283927307055
-57,-25,1.0148690110927543
-56,-36,0.02360160490913382
-55,-34,0.02360160490913382
-70,-23,0.02360160490913382
-71,-29,0.02360160490913382
-55,-34,0.02360160490913382
-70,-12,0.02360160490913382
-71,-32,0.02360160490913382
-75,-12,0.4248288883644088
-53,-33,0.28321925890960586
-57,-25,0.07080481472740147
-66,-17,0.02360160490913382
-66,-17,0.02360160490913382
-71,-17,0.02360160490913382
-70,-18,0.18881283927307055
-56,-20,0.02360160490913382
-74,4,0.04720320981826764
-76,-12,0.02360160490913382
-70,-18,0.04720320981826764
-66,-22,0.35402407363700733
-49,-28,0.14160962945480293
-72,-47,0.02360160490913382
-71,-29,0.02360160490913382
-69,-21,0.02360160490913382
-73,-38,0.02360160490913382
-70,-18,0.04720320981826764
-51,-31,0.02360160490913382
-56,-16,0.02360160490913382
-53,-33,0.28321925890960586
-57,-25,0.02360160490913382
-50,-31,4.720320981826765
-52,4,0.07080481472740147
-71,-29,0.02360160490913382
-55,-34,0.02360160490913382
-57,-37,0.02360160490913382
-51,-31,0.02360160490913382
-66,-22,0.09440641963653527
-58,-33,0.02360160490913382
-60,-28,0.02360160490913382
