,species,family,2000SA,2000A,2001SA,2001A,2002SA,2002A,2003SA,2003A,2004SA,2004A,2005SA,2005A,2006SA,2006A,2007SA,2007A,2008SA,2008A,2009SA,2009A,2010SA,2010A,2011SA,2011A,2012SA,2012A,2013SA,2013A,2014SA,2014A,2015SA,2015A,2016SA,2016A,2017SA,2017A,2018SA,2018A,2019SA,2019A
0,Troglodytes aedon,Troglodytidae,0.0,3.0,0.0,0.0,17.0,17.0,0.0,6.0,0.0,9.0,0.0,13.0,1.0,7.0,0.0,15.0,3.0,53.0,28.0,68.0,15.0,105.0,10.0,79.0,11.0,84.0,9.0,196.0,33.0,292.0,43.0,405.0,167.0,701.0,159.0,951.0,284.0,1189.0,478.0,1785.0
0,Tringa melanoleuca,Scolopacidae,0.0,17.0,0.0,6.0,0.0,8.0,0.0,7.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,7.0,3.0,56.0,1.0,5.0,0.0,50.0,10.0,68.0,1.0,41.0,2.0,106.0,0.0,167.0,5.0,117.0,21.0,233.0,0.0,84.0,29.0,290.0,48.0,316.0
0,Calidris minutilla,Scolopacidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,697.0,0.0,407.0,0.0,505.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,32.0,0.0,32.0,0.0,76.0,0.0,385.0
0,Branta canadensis,Anatidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Anas platyrhynchos,Anatidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Sayornis nigricans,Tyrannidae,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,16.0,0.0,27.0,0.0,23.0,0.0,30.0,0.0,32.0,0.0,48.0,0.0,54.0
0,Elanus leucurus,Accipitridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,7.0,0.0,14.0,4.0,13.0,1.0,17.0,6.0,22.0,5.0,27.0,8.0,47.0,9.0,61.0
0,Egretta thula,Ardeidae,0.0,96.0,2.0,92.0,0.0,92.0,24.0,181.0,0.0,111.0,2.0,69.0,0.0,81.0,1.0,50.0,1.0,36.0,1.0,52.0,0.0,136.0,1.0,117.0,20.0,141.0,15.0,409.0,52.0,363.0,92.0,983.0,258.0,732.0,315.0,973.0,194.0,1593.0,344.0,1696.0
0,Columba livia,Columbidae,0.0,0.0,0.0,46.0,0.0,25.0,5.0,65.0,0.0,17.0,0.0,36.0,3.0,45.0,0.0,72.0,41.0,69.0,100.0,379.0,20.0,148.0,0.0,124.0,42.0,162.0,205.0,326.0,59.0,387.0,212.0,767.0,540.0,1588.0,730.0,2211.0,1021.0,3559.0,2451.0,4879.0
0,Hirundo rustica,Hirundinidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,9.0,0.0,112.0,81.0,345.0,14.0,587.0,1.0,254.0,60.0,282.0,12.0,844.0,61.0,456.0
0,Passer domesticus,Passeridae,0.0,0.0,0.0,30.0,0.0,18.0,0.0,57.0,0.0,16.0,0.0,1.0,0.0,12.0,3.0,43.0,50.0,83.0,0.0,10.0,0.0,185.0,5.0,195.0,13.0,204.0,0.0,174.0,44.0,277.0,64.0,529.0,130.0,810.0,324.0,1403.0,664.0,2081.0,1599.0,3097.0
0,Podilymbus podiceps,Podicipedidae,0.0,55.0,0.0,11.0,0.0,17.0,1.0,112.0,21.0,23.0,0.0,0.0,0.0,9.0,0.0,7.0,3.0,7.0,0.0,13.0,0.0,43.0,0.0,30.0,1.0,71.0,6.0,38.0,0.0,18.0,12.0,66.0,25.0,85.0,24.0,128.0,36.0,149.0,53.0,182.0
0,Phalaropus lobatus,Scolopacidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
0,Petrochelidon pyrrhonota,Hirundinidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,3.0,0.0,20.0,4.0,6.0,70.0,78.0
0,Calidris melanotos,Scolopacidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,42.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,15.0,27.0,29.0,0.0,0.0,0.0,30.0,1.0,2.0,1.0,5.0,5.0,38.0,1.0,17.0,64.0,112.0,70.0,137.0
0,Pluvialis dominica,Charadriidae,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,27.0,27.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,162.0,6.0,15.0,12.0,36.0,31.0,113.0
0,Bartramia longicauda,Scolopacidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,10.0,2.0,12.0,0.0,5.0,0.0,7.0,3.0,14.0,9.0,20.0
0,Thalassarche melanophris,Diomedeidae,0.0,1.0,0.0,15.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,265.0,0.0,8.0,0.0,535.0,0.0,7.0,0.0,17.0,1.0,144.0,0.0,400.0,1.0,1052.0,0.0,1318.0,5.0,210.0
