,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
895,1987-11-11T00:00:00,,-13.8715,-76.2828,11,11,1987
2721,1980-02-03T00:00:00,7.0,-34.7917,-55.3972,3,2,1980
2976,1984-05-27T00:00:00,1.0,-12.285,-76.8871,27,5,1984
5929,1988-11-16T00:00:00,3.0,-40.7556,-64.9393,16,11,1988
7013,1986-01-05T00:00:00,1.0,-17.7803,-63.2164,5,1,1986
8032,1987-10-20T00:00:00,2.0,-25.27,-57.6283,20,10,1987
8145,1985-09-29T00:00:00,,-3.26495,-59.8541,29,9,1985
8599,1983-11-11T00:00:00,20.0,-11.0167,-76.0913,11,11,1983
8768,1988-09-20T00:00:00,,-21.6833,-57.9,20,9,1988
8892,1981-09-19T00:00:00,1.0,-13.9154,-76.3398,19,9,1981
9256,1980-07-28T00:00:00,1.0,-13.8194,-76.2722,28,7,1980
11768,1983-10-09T00:00:00,1.0,-12.2141,-76.9893,9,10,1983
13184,1987-12-11T00:00:00,9.0,-25.27,-57.6283,11,12,1987
17502,1987-10-31T00:00:00,4.0,-12.6083,-69.222,31,10,1987
18458,1985-02-06T00:00:00,4.0,-34.9664,-54.9485,6,2,1985
19772,1987-10-29T00:00:00,15.0,-25.27,-57.6283,29,10,1987
29441,1987-09-06T00:00:00,7.0,-25.4972,-57.4555,6,9,1987
29448,1985-03-24T00:00:00,1.0,-18.2026,-69.2682,24,3,1985
29964,1981-09-21T00:00:00,8.0,-13.6813,-76.2111,21,9,1981
31008,1981-01-01T00:00:00,10.0,-11.0589,-76.1458,1,1,1981
32788,1981-01-22T00:00:00,2.0,-34.7917,-55.3972,22,1,1981
36691,1986-10-26T00:00:00,,-36.35,-56.8667,26,10,1986
37608,1989-01-17T00:00:00,3.0,-25.27,-57.6283,17,1,1989
43742,1980-11-17T00:00:00,17.0,-34.7917,-55.3972,17,11,1980
43832,1988-02-01T00:00:00,,-37.4313,-57.2278,1,2,1988
46227,1981-11-28T00:00:00,50.0,-36.3848,-56.7066,28,11,1981
48222,1983-11-06T00:00:00,1.0,-17.724,-63.1981,6,11,1983
52628,1985-10-19T00:00:00,1.0,-17.9163,-63.1604,19,10,1985
54874,1988-10-08T00:00:00,,-36.702,-56.6755,8,10,1988
59472,1985-05-14T00:00:00,1.0,-13.6802,-76.2178,14,5,1985
61319,1980-01-20T00:00:00,2.0,-34.7917,-55.3972,20,1,1980
61711,1980-01-08T00:00:00,,-37.0178,-57.1401,8,1,1980
64627,1980-02-24T00:00:00,3.0,-34.7917,-55.3972,24,2,1980
65972,1988-02-10T00:00:00,,-36.2941,-56.7756,10,2,1988
69837,1981-09-28T00:00:00,1.0,-12.8338,-69.297,28,9,1981
70151,1981-12-19T00:00:00,10.0,-34.7917,-55.3972,19,12,1981
74810,1989-09-10T00:00:00,,-22.5761,-59.1653,10,9,1989
76783,1985-12-11T00:00:00,1.0,-17.7803,-63.2164,11,12,1985
82639,1989-10-25T00:00:00,3.0,-13.618,-71.7304,25,10,1989
86082,1980-12-06T00:00:00,20.0,-34.7917,-55.3972,6,12,1980
89958,1987-12-06T00:00:00,1.0,-25.27,-57.6283,6,12,1987
91748,1989-10-25T00:00:00,3.0,-13.618,-71.7304,25,10,1989
92105,1980-01-11T00:00:00,30.0,-31.3839,-60.9022,11,1,1980
95424,1986-10-24T00:00:00,,-36.2941,-56.7756,24,10,1986
96391,1988-11-03T00:00:00,,-35.4167,-58.75,3,11,1988
102759,1980-01-12T00:00:00,23.0,-34.7917,-55.3972,12,1,1980
103792,1989-09-10T00:00:00,,-22.5761,-59.1653,10,9,1989
111465,1982-12-21T00:00:00,10.0,-34.7917,-55.3972,21,12,1982
114663,1985-09-24T00:00:00,,-2.4058200000000003,-59.8715,24,9,1985
122989,1983-11-22T00:00:00,,-17.4078,-66.138,22,11,1983
131096,1989-12-13T00:00:00,56.0,-34.1004,-58.2275,13,12,1989
131425,1983-10-09T00:00:00,1.0,-34.0514,-53.5418,9,10,1983
137733,1989-01-11T00:00:00,1.0,-25.27,-57.6283,11,1,1989
