,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1394515,1319111863,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/35473e327-a4f3-416f-82f0-c4fd4a64c37a,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,CA,"Rendezvous Lake, Fort Anderson",Northwest Territories,PRESENT,2.0,bc092ff0-02e4-11dc-991f-b8a03c50a862,,,,,,,,,,,,,2481783,2481783,PRESERVED_SPECIMEN,USNM,Birds,USNM B14099,,,,CC0_1_0,,R. MacFarlane,,,2022-08-02T11:44:10.407Z,StillImage,RECORDED_DATE_INVALID
1423322,863475936,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Orn:182290,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)","Numenius borealis (Forster, 1772)","(Forster, 1772)",CA,between Hamilton Inlet and Sandwich Bay,Newfoundland and Labrador,PRESENT,1.0,b4640710-8e03-11d8-b956-b8a03c50a862,53.97709,-57.590332,40449.0,,,,,,1912-09-01T00:00:00,1.0,9.0,1912.0,2481783,2481783,PRESERVED_SPECIMEN,MCZ,Orn,182290,,Catalog,,CC_BY_NC_4_0,President and Fellows of Harvard College,"Samuel Pottle, Gilbert Pottle",,,2022-08-25T08:06:02.090Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1643438,1839332805,7e380070-f762-11e1-a439-00145eb45e9a,88e03adb-22ab-45f3-85fb-d3e2be0f7c37,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,,,,PRESENT,,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,,,,,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,NHMUK E/1973.GS.95.b,,,,CC0_1_0,,,,,2022-08-23T11:48:33.227Z,,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1643455,1291450645,7e380070-f762-11e1-a439-00145eb45e9a,57427f07-a48f-4c3c-a449-9df8ea109d98,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,US,Brownsville,Texas,PRESENT,1.0,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,1889-03-26T00:00:00,26.0,3.0,1889.0,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,1891.10.20.1038,,,,CC0_1_0,,,,,2022-08-23T11:48:24.337Z,StillImage,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1643456,1291431201,7e380070-f762-11e1-a439-00145eb45e9a,d93d8cbe-3df8-4363-a770-c244e0d5c924,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,CA,Labrador; Henley Harbour,,PRESENT,1.0,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,1887-08-27T00:00:00,27.0,8.0,1887.0,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,1894.2.19.70,,,,CC0_1_0,,,,,2022-08-23T11:48:24.337Z,StillImage,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1643860,1291450585,7e380070-f762-11e1-a439-00145eb45e9a,7d3f9f35-afb6-415f-842e-a5b82c5021e5,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,US,Brownsville,Texas,PRESENT,1.0,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,1889-03-28T00:00:00,28.0,3.0,1889.0,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,1891.10.20.1033,,,,CC0_1_0,,,,,2022-08-23T11:48:27.172Z,StillImage,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1643905,1291416174,7e380070-f762-11e1-a439-00145eb45e9a,8cd876e5-c1cc-48e3-a3b2-934af599ea18,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,US,Massachussetts; North Truro,,PRESENT,1.0,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,1888-09-01T00:00:00,1.0,9.0,1888.0,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,1988.21.11,,,,CC0_1_0,,,,,2022-08-23T11:48:24.513Z,StillImage,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1643952,1291444682,7e380070-f762-11e1-a439-00145eb45e9a,ece084d7-27e8-4ccb-aa89-87b97f6a005a,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,CA,Fort Good Hope,Northwest Territories,PRESENT,1.0,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,,,,,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,1863.1.28.127,,,,CC0_1_0,,,,,2022-08-23T11:48:23.843Z,StillImage,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1644017,1291431228,7e380070-f762-11e1-a439-00145eb45e9a,89e4951c-f7c2-41ef-ba1c-02c8615d4ac8,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,CA,Labrador; Henley Harbour,,PRESENT,1.0,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,1861-08-20T00:00:00,20.0,8.0,1861.0,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,1894.2.19.71,,,,CC0_1_0,,,,,2022-08-23T11:48:25.202Z,StillImage,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
1644226,1291421966,7e380070-f762-11e1-a439-00145eb45e9a,1f4a12c3-b5bf-4fda-b448-12069fb343e2,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius borealis,,SPECIES,"Numenius borealis (J.R.Forster, 1772)",Numenius borealis,,AR,"(Chufat), Patagonia",Chubut,PRESENT,1.0,19456090-b49a-11d8-abeb-b8a03c50a862,,,,,,,,,1877-11-08T00:00:00,8.0,11.0,1877.0,2481783,2481783,PRESERVED_SPECIMEN,NHMUK,ZOO,1885.11.20.182,,,,CC0_1_0,,,,,2022-08-23T11:48:25.524Z,StillImage,INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
