,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
37,1379357200,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS333563750,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PY,Asunción--Bahía de Asunción,Asunción,PRESENT,80.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-25.2667,-57.6167,,,,,,,2013-10-02T00:00:00,2,10,2013,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS333563750,,,,CC0_1_0,,obsr520076,,,2021-03-09T12:58:26.845Z,,
47,975150677,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS221804450,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,"Campo Mare y lagunas anexas, Córdoba, ARG.",Córdoba,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-30.8069,-62.8778,,,,,,,2013-02-16T00:00:00,16,2,2013,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS221804450,,,,CC0_1_0,,obsr429240,,,2021-03-09T12:51:03.098Z,,
63,1791850241,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CL:OBS526737582,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Puerto Saavedra,Araucanía,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-38.7925,-73.3959,,,,,,,2014-07-20T00:00:00,20,7,2014,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CL,OBS526737582,,,,CC0_1_0,,obsr398482,,,2021-03-09T12:52:56.027Z,,
74,1711732658,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS368199404,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Boca del Salado,Buenos Aires,PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-35.7792,-57.3939,,,,,,,2016-01-23T00:00:00,23,1,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS368199404,,,,CC0_1_0,,obsr217001,,,2021-03-09T12:51:45.022Z,,
113,2794278166,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS877547580,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BO,Barba Azul Nature Reserve BA_E3,El Beni,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-13.7433,-66.078,,,,,,,2014-09-21T00:00:00,21,9,2014,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS877547580,,,,CC0_1_0,,obsr131308,,,2021-03-09T13:04:06.164Z,,
140,230446944,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS61916933,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Desembocadura Rio Elqui,Coquimbo,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-29.8934,-71.2731,,,,,,,2008-12-06T00:00:00,6,12,2008,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS61916933,,,,CC0_1_0,,obsr150709,,,2021-03-09T12:51:04.305Z,,
148,2143663658,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS592948746,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,PE,San Pedro--Campos (Valqui C4.2),Lima,PRESENT,8.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-12.2853,-76.8809,,,,,,,2018-03-25T00:00:00,25,3,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS592948746,,,,CC0_1_0,,obsr88799,,,2021-03-09T13:03:10.346Z,,
158,1198817823,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS284801519,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,"CL-Arica and Parinacota Region - -18.4161x-70.3216 - Nov 14, 2014, 4:31 PM",Arica y Parinacota,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-18.4161,-70.3216,,,,,,,2014-11-14T00:00:00,14,11,2014,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS284801519,,,,CC0_1_0,,obsr176986,,,2021-03-09T12:59:23.453Z,,
208,596759427,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS106099341,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Reserva Natural Punta Rasa (AICA BA07),Buenos Aires,PRESENT,6.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-36.2941,-56.7756,,,,,,,2010-11-30T00:00:00,30,11,2010,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS106099341,,,,CC0_1_0,,obsr110280,,,2021-03-09T13:01:38.811Z,,
245,2117512866,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CL:OBS563873045,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Río Lluta--Desembocadura,Arica y Parinacota,PRESENT,7.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-18.4165,-70.3224,,,,,,,2018-01-04T00:00:00,4,1,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CL,OBS563873045,,,,CC0_1_0,,obsr162921,,,2021-03-09T13:01:17.954Z,,
313,2101743171,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS546068028,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Parque Linear Nove de Julho,São Paulo,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-23.7196,-46.7166,,,,,,,2017-11-01T00:00:00,1,11,2017,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS546068028,,,,CC0_1_0,,obsr777634,,,2021-03-09T12:53:22.177Z,,
314,2226855547,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS676142657,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Campo Andino,Santa Fe,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.2333,-60.5333,,,,,,,2016-11-20T00:00:00,20,11,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS676142657,,,,CC0_1_0,,obsr1096007,,,2021-03-09T12:54:44.369Z,,
348,2725559934,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS873712746,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Praderas de chorlo pampa,Santa Fe,PRESENT,23.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-30.2238,-60.0137,,,,,,,2019-12-28T00:00:00,28,12,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS873712746,,,,CC0_1_0,,obsr642518,,,2021-03-09T12:57:33.628Z,,
362,2176812454,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS633842459,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Mostardas -- Porto do Barquinho,Rio Grande do Sul,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.0481,-50.9908,,,,,,,2017-01-16T00:00:00,16,1,2017,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS633842459,,,,CC0_1_0,,obsr514376,,,2021-03-09T13:02:39.501Z,,
371,2200925047,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS672990620,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Canal 2 (general),Buenos Aires,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-36.4876,-57.0045,,,,,,,2018-11-03T00:00:00,3,11,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS672990620,,,,CC0_1_0,,obsr86405,,,2021-03-09T13:03:03.290Z,,
376,2660046411,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS725360413,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Estancia Medaland,Buenos Aires,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-37.4319,-57.1917,,,,,,,2019-01-27T00:00:00,27,1,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS725360413,,,,CC0_1_0,,obsr206598,,,2021-03-09T12:54:36.046Z,,
