,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
6,10/20/2016 0:00,2.0,-24.795386999999998,-65.47886,20.0,10.0,2016.0
9,9/21/2019 0:00,1.0,-23.100554000000002,-44.7071,21.0,9.0,2019.0
10,1/8/2019 0:00,9.0,-34.44822,-55.20514,8.0,1.0,2019.0
11,2/3/2020 0:00,1.0,-31.718613,-60.530533,3.0,2.0,2020.0
13,9/12/2013 0:00,1.0,-9.597261,-55.931107,12.0,9.0,2013.0
14,1/22/2017 0:00,1.0,-22.875347,-46.54071,22.0,1.0,2017.0
15,11/9/2018 0:00,2.0,-25.618710999999998,-54.591827,9.0,11.0,2018.0
18,11/7/2019 0:00,8.0,-33.169205,-60.46536,7.0,11.0,2019.0
19,12/31/2018 0:00,1.0,-38.983776,-61.311527000000005,31.0,12.0,2018.0
21,11/17/2016 0:00,1.0,-31.093937,-55.96601999999999,17.0,11.0,2016.0
24,8/20/2017 0:00,1.0,-12.873428,-69.49920999999999,20.0,8.0,2017.0
25,10/19/2019 0:00,2.0,-17.910023000000002,-63.16583000000001,19.0,10.0,2019.0
29,1/26/2019 0:00,8.0,-33.20901,-65.03744499999999,26.0,1.0,2019.0
32,12/8/2019 0:00,4.0,-33.69908,-62.533,8.0,12.0,2019.0
34,1/10/2018 0:00,6.0,-27.11855,-58.644119999999994,10.0,1.0,2018.0
35,11/15/2019 0:00,1.0,-32.139465,-53.762896999999995,15.0,11.0,2019.0
36,12/8/2019 0:00,1.0,-32.553326,-64.95799,8.0,12.0,2019.0
41,3/25/2010 0:00,5.0,-3.517405,-73.07664,25.0,3.0,2010.0
45,12/31/2019 0:00,2.0,-25.515411,-54.58505600000001,31.0,12.0,2019.0
46,10/17/2020 0:00,1.0,-24.278528,-64.9293,17.0,10.0,2020.0
48,10/6/2018 0:00,15.0,-35.33099,-57.455605000000006,6.0,10.0,2018.0
49,11/3/2013 0:00,20.0,-28.53552,-57.174225,3.0,11.0,2013.0
50,12/4/2020 0:00,4.0,-24.551273000000002,-65.3683,4.0,12.0,2020.0
58,12/8/2019 0:00,1.0,-21.834166,-47.930890000000005,8.0,12.0,2019.0
60,1/4/2020 0:00,6.0,-23.719648,-46.716587,4.0,1.0,2020.0
61,10/27/2019 0:00,6.0,-33.109120000000004,-64.30383,27.0,10.0,2019.0
62,11/29/2020 0:00,2.0,-34.466278,-55.55075,29.0,11.0,2020.0
68,10/20/2018 0:00,1.0,-22.925060000000002,-45.453934000000004,20.0,10.0,2018.0
69,1/29/2020 0:00,5.0,-17.184248,-62.52183,29.0,1.0,2020.0
71,8/18/2016 0:00,2.0,-5.462391,-80.72745,18.0,8.0,2016.0
72,10/17/2020 0:00,1.0,-39.4575,-62.879234,17.0,10.0,2020.0
73,11/23/2016 0:00,1.0,-31.119455,-64.455025,23.0,11.0,2016.0
74,10/28/2018 0:00,3.0,-21.107943,-47.761765000000004,28.0,10.0,2018.0
75,3/28/2018 0:00,13.0,-5.326666,-74.50209,28.0,3.0,2018.0
76,10/19/2018 0:00,24.0,-24.883333,-57.45,19.0,10.0,2018.0
80,11/10/2019 0:00,2.0,-30.54637,-64.081696,10.0,11.0,2019.0
85,12/15/2019 0:00,1.0,-21.984074,-47.64213,15.0,12.0,2019.0
86,1/8/2018 0:00,1.0,-27.974870000000003,-48.630386,8.0,1.0,2018.0
87,12/29/2019 0:00,3.0,-37.939335,-57.73716700000001,29.0,12.0,2019.0
88,10/6/2018 0:00,6.0,-32.902576,-60.736286,6.0,10.0,2018.0
90,2/6/2019 0:00,1.0,-24.14926,-60.69396999999999,6.0,2.0,2019.0
92,2/2/2017 0:00,4.0,-25.0,-57.55,2.0,2.0,2017.0
94,12/15/1998 0:00,1.0,-26.653128000000002,-49.34983,15.0,12.0,1998.0
95,10/28/2017 0:00,5.0,-25.872585,-57.061130000000006,28.0,10.0,2017.0
96,10/19/2019 0:00,4.0,-23.42857,-45.97437,19.0,10.0,2019.0
97,11/23/2016 0:00,2.0,-34.53852,-58.443703,23.0,11.0,2016.0
134,11/15/2017 0:00,1.0,-34.921305,-56.171608,15.0,11.0,2017.0
204,3/17/2006 0:00,1.0,-24.784525,-65.41506,17.0,3.0,2006.0
205,2/28/2020 0:00,1.0,-12.510322,-68.980385,28.0,2.0,2020.0
206,10/6/2018 0:00,2.0,-25.617476,-54.54048,6.0,10.0,2018.0
207,1/11/2020 0:00,1.0,-28.53552,-57.174225,11.0,1.0,2020.0
211,10/17/2020 0:00,1.0,-30.690578000000002,-62.1715,17.0,10.0,2020.0
213,9/17/2016 0:00,2.0,-22.670134,-48.011759999999995,17.0,9.0,2016.0
215,1/12/2019 0:00,4.0,-32.863859999999995,-60.636536,12.0,1.0,2019.0
219,11/7/2017 0:00,2.0,-31.349518,-64.29829000000001,7.0,11.0,2017.0
221,10/13/2018 0:00,3.0,-25.683304,-54.455452,13.0,10.0,2018.0
225,10/24/2020 0:00,2.0,-22.955738,-45.871254,24.0,10.0,2020.0
226,11/2/2020 0:00,2.0,-15.905837,-47.988895,2.0,11.0,2020.0
229,1/11/2020 0:00,5.0,-36.341125,-56.747147,11.0,1.0,2020.0
230,12/7/2019 0:00,6.0,-34.19895,-58.881783,7.0,12.0,2019.0
231,12/24/2018 0:00,4.0,-32.19338,-53.751000000000005,24.0,12.0,2018.0
235,12/29/2016 0:00,4.0,-34.412632,-58.915836,29.0,12.0,2016.0
242,7/16/2012 0:00,4.0,-3.522347,-60.00588199999999,16.0,7.0,2012.0
243,1/18/2017 0:00,8.0,-28.53552,-57.174225,18.0,1.0,2017.0
246,11/27/2019 0:00,2.0,-29.79017,-57.01243,27.0,11.0,2019.0
247,1/20/2017 0:00,3.0,-38.890564000000005,-60.332108,20.0,1.0,2017.0
248,9/26/2020 0:00,1.0,-23.08621,-47.212063,26.0,9.0,2020.0
251,10/25/2015 0:00,1.0,-38.70301,-68.05085,25.0,10.0,2015.0
252,10/21/2019 0:00,1.0,-12.544353,-69.05151,21.0,10.0,2019.0
253,9/4/2016 0:00,1.0,-22.097179999999998,-42.63017,4.0,9.0,2016.0
258,11/15/2018 0:00,1.0,-21.336218,-47.738426000000004,15.0,11.0,2018.0
260,2/28/2017 0:00,2.0,-31.322291999999997,-64.33166999999999,28.0,2.0,2017.0
261,10/17/2020 0:00,1.0,-22.963243,-46.526463,17.0,10.0,2020.0
267,12/18/2020 0:00,2.0,-20.527143,-49.30462,18.0,12.0,2020.0
269,10/9/2019 0:00,1.0,-17.282626999999998,-56.698809999999995,9.0,10.0,2019.0
271,2/17/2019 0:00,2.0,-38.69402,-68.01756,17.0,2.0,2019.0
273,1/5/2019 0:00,2.0,-37.33806,-59.112915,5.0,1.0,2019.0
276,10/5/2019 0:00,2.0,-25.34004,-57.286488,5.0,10.0,2019.0
277,2/18/2020 0:00,1.0,-36.890240000000006,-59.21106999999999,18.0,2.0,2020.0
278,1/10/2014 0:00,2.0,-27.382665999999997,-55.96161,10.0,1.0,2014.0
280,1/7/2020 0:00,20.0,-35.13493,-57.39069,7.0,1.0,2020.0
282,1/27/2017 0:00,5.0,-24.097324,-54.463005,27.0,1.0,2017.0
283,2/21/2011 0:00,1.0,-3.650661,-40.379295,21.0,2.0,2011.0
284,10/8/2015 0:00,1.0,-31.778088,-63.790226000000004,8.0,10.0,2015.0
286,3/6/2016 0:00,1.0,-25.11355,-57.401276,6.0,3.0,2016.0
288,10/17/2020 0:00,1.0,-30.354222999999998,-51.281025,17.0,10.0,2020.0
291,10/21/2019 0:00,15.0,-36.294113,-56.775604,21.0,10.0,2019.0
292,9/21/2018 0:00,6.0,-23.557089,-45.841934,21.0,9.0,2018.0
294,1/11/2018 0:00,2.0,-22.393581,-47.544205,11.0,1.0,2018.0
295,11/15/2015 0:00,9.0,-22.6838,-46.67904,15.0,11.0,2015.0
299,11/6/2018 0:00,18.0,-32.149235,-53.750637,6.0,11.0,2018.0
304,11/20/2019 0:00,2.0,-34.90586,-56.12798299999999,20.0,11.0,2019.0
306,10/26/2019 0:00,5.0,-34.78893,-55.8466,26.0,10.0,2019.0
315,10/23/2014 0:00,1.0,-0.18651500000000001,-78.48579000000001,23.0,10.0,2014.0
317,10/22/2016 0:00,1.0,-38.656895,-59.005680000000005,22.0,10.0,2016.0
319,11/13/2006 0:00,8.0,-36.384808,-56.706619999999994,13.0,11.0,2006.0
321,2/15/2020 0:00,1.0,-15.208174,-64.76063,15.0,2.0,2020.0
322,3/5/2019 0:00,1.0,-36.294113,-56.775604,5.0,3.0,2019.0
323,1/24/2020 0:00,2.0,-28.937849,-56.62405,24.0,1.0,2020.0
