,species,family,2000SA,2000A,2001SA,2001A,2002SA,2002A,2003SA,2003A,2004SA,2004A,2005SA,2005A,2006SA,2006A,2007SA,2007A,2008SA,2008A,2009SA,2009A,2010SA,2010A,2011SA,2011A,2012SA,2012A,2013SA,2013A,2014SA,2014A,2015SA,2015A,2016SA,2016A,2017SA,2017A,2018SA,2018A,2019SA,2019A
0,Troglodytes aedon,Troglodytidae,19.0,125.0,35.0,324.0,85.0,291.0,41.0,259.0,19.0,243.0,41.0,376.0,26.0,411.0,99.0,626.0,139.0,1308.0,188.0,1200.0,174.0,2146.0,132.0,1823.0,133.0,2444.0,271.0,3645.0,716.0,5622.0,1250.0,8217.0,2762.0,12679.0,4034.0,19432.0,5391.0,26388.0,8626.0,34673.0
1,Tringa melanoleuca,Scolopacidae,5.0,47.0,12.0,54.0,26.0,136.0,10.0,133.0,50.0,121.0,8.0,102.0,36.0,626.0,17.0,198.0,96.0,692.0,46.0,487.0,405.0,1748.0,290.0,1232.0,67.0,1047.0,90.0,1473.0,1227.0,4106.0,277.0,2426.0,451.0,3556.0,563.0,3150.0,780.0,5481.0,792.0,5668.0
2,Calidris minutilla,Scolopacidae,0.0,238.0,0.0,694.0,0.0,246.0,0.0,1343.0,0.0,630.0,0.0,2407.0,0.0,18.0,0.0,1355.0,0.0,4009.0,0.0,1302.0,0.0,3185.0,0.0,1406.0,0.0,2022.0,0.0,3194.0,0.0,2368.0,0.0,1334.0,0.0,1550.0,0.0,1854.0,0.0,2839.0,2.0,7865.0
3,Branta canadensis,Anatidae,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Anas platyrhynchos,Anatidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Sayornis nigricans,Tyrannidae,0.0,62.0,0.0,39.0,0.0,39.0,0.0,60.0,0.0,26.0,0.0,37.0,0.0,42.0,0.0,39.0,0.0,82.0,0.0,123.0,0.0,93.0,0.0,216.0,0.0,282.0,0.0,242.0,0.0,465.0,0.0,424.0,0.0,614.0,0.0,959.0,0.0,1320.0,0.0,1824.0
6,Elanus leucurus,Accipitridae,2.0,9.0,1.0,34.0,9.0,14.0,13.0,31.0,2.0,13.0,1.0,19.0,12.0,31.0,9.0,41.0,7.0,44.0,10.0,55.0,4.0,102.0,6.0,92.0,18.0,143.0,7.0,137.0,24.0,246.0,35.0,277.0,97.0,440.0,89.0,584.0,124.0,892.0,198.0,1193.0
7,Egretta thula,Ardeidae,24.0,301.0,77.0,479.0,54.0,681.0,160.0,1261.0,191.0,960.0,291.0,1762.0,132.0,700.0,95.0,894.0,76.0,1873.0,231.0,2769.0,259.0,3635.0,271.0,2358.0,472.0,6752.0,1367.0,6857.0,573.0,6808.0,2081.0,15838.0,4154.0,17638.0,3051.0,23710.0,5682.0,28099.0,7208.0,36040.0
8,Columba livia,Columbidae,6.0,68.0,36.0,604.0,134.0,399.0,105.0,573.0,28.0,367.0,135.0,447.0,241.0,902.0,49.0,751.0,1157.0,3072.0,959.0,2881.0,669.0,4139.0,379.0,2749.0,813.0,5707.0,1053.0,5980.0,1054.0,9382.0,3531.0,16407.0,7720.0,25586.0,12572.0,46343.0,22684.0,74192.0,50004.0,114486.0
9,Hirundo rustica,Hirundinidae,3.0,32.0,0.0,19.0,0.0,103.0,0.0,209.0,16.0,68.0,1.0,119.0,130.0,696.0,2.0,383.0,0.0,314.0,125.0,1157.0,27.0,2618.0,1047.0,1820.0,12.0,447.0,445.0,4326.0,290.0,3006.0,1366.0,5063.0,484.0,5050.0,486.0,5482.0,1201.0,9593.0,1951.0,12517.0
