,species,family,2000SA,2000A,2001SA,2001A,2002SA,2002A,2003SA,2003A,2004SA,2004A,2005SA,2005A,2006SA,2006A,2007SA,2007A,2008SA,2008A,2009SA,2009A,2010SA,2010A,2011SA,2011A,2012SA,2012A,2013SA,2013A,2014SA,2014A,2015SA,2015A,2016SA,2016A,2017SA,2017A,2018SA,2018A,2019SA,2019A,WinterSA,WinterNA,WinterElse,SpringSA,SpringNA,SpringElse,SummerSA,SummerNA,SummerElse,FallSA,FallNA,FallElse
0,Troglodytes aedon,Troglodytidae,39.0,612.0,149.0,1304.0,469.0,1303.0,171.0,1238.0,123.0,959.0,148.0,1454.0,169.0,2338.0,312.0,2974.0,525.0,5036.0,878.0,5019.0,863.0,9054.0,465.0,7695.0,696.0,9924.0,1098.0,14571.0,2710.0,21971.0,5664.0,33648.0,11011.0,51220.0,16552.0,79107.0,21570.0,106615.0,35059.0,142124.0,85357,357634,48886,80230,1598675,144545,81787,1404189,112891,125998,677704,56762
1,Tringa melanoleuca,Scolopacidae,36.0,129.0,27.0,148.0,65.0,414.0,45.0,592.0,151.0,635.0,16.0,568.0,110.0,2040.0,146.0,1563.0,272.0,3034.0,195.0,2649.0,2623.0,8028.0,1205.0,5061.0,348.0,4196.0,352.0,6029.0,1660.0,12807.0,1777.0,10925.0,1862.0,15330.0,1600.0,13412.0,3064.0,23618.0,3618.0,24553.0,13821,279126,35803,6011,607503,71608,3504,386813,53763,12891,566295,56165
2,Calidris minutilla,Scolopacidae,0.0,4395.0,0.0,2027.0,0.0,4735.0,1.0,4450.0,0.0,3357.0,0.0,4531.0,0.0,1504.0,0.0,4813.0,0.0,6896.0,0.0,4811.0,0.0,13296.0,0.0,7470.0,0.0,9412.0,0.0,11306.0,0.0,12257.0,2.0,6635.0,0.0,9094.0,0.0,10307.0,0.0,17572.0,3.0,25360.0,2666,213718,34742,1116,436510,65941,533,524074,57622,2467,416789,47970
3,Branta canadensis,Anatidae,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2320805,982189,0,4846966,1292961,0,1518900,1838831,3,2327329,675890
4,Anas platyrhynchos,Anatidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2403875,2681211,3,4408542,2252685,0,1791494,1928165,1,2342784,2086824
5,Sayornis nigricans,Tyrannidae,0.0,133.0,0.0,134.0,0.0,144.0,0.0,206.0,0.0,113.0,0.0,204.0,0.0,209.0,0.0,406.0,0.0,353.0,0.0,425.0,0.0,491.0,0.0,669.0,0.0,1039.0,0.0,1012.0,0.0,1829.0,0.0,2075.0,0.0,2587.0,3.0,3581.0,2.0,5664.0,8.0,7172.0,5903,634677,56650,4568,495561,44195,5151,343657,28560,6996,612195,40042
6,Elanus leucurus,Accipitridae,12.0,37.0,7.0,152.0,40.0,69.0,35.0,99.0,31.0,79.0,14.0,119.0,46.0,120.0,28.0,162.0,41.0,159.0,79.0,238.0,42.0,361.0,28.0,382.0,69.0,564.0,23.0,568.0,107.0,922.0,135.0,971.0,325.0,1682.0,385.0,2413.0,642.0,3679.0,721.0,4542.0,4244,116449,16177,4611,72682,10821,5298,44718,5865,5645,93965,11035
7,Egretta thula,Ardeidae,35.0,1290.0,205.0,1818.0,511.0,2638.0,560.0,3448.0,784.0,2502.0,1066.0,4480.0,483.0,3910.0,657.0,5230.0,449.0,8320.0,797.0,10299.0,3412.0,23904.0,1433.0,11433.0,1673.0,25072.0,3730.0,26325.0,2273.0,29699.0,8963.0,61346.0,16044.0,71474.0,13392.0,92077.0,24239.0,117968.0,28723.0,143911.0,34409,595503,85948,30020,666603,89036,32928,559026,61703,42934,599441,66244
8,Columba livia,Columbidae,6.0,516.0,63.0,2230.0,405.0,1906.0,518.0,2426.0,170.0,1588.0,888.0,2866.0,1042.0,4096.0,387.0,3732.0,3589.0,10905.0,2913.0,11977.0,2981.0,16183.0,1466.0,13492.0,4036.0,24260.0,4119.0,29111.0,4551.0,41195.0,13728.0,63871.0,30058.0,102819.0,52384.0,194293.0,90409.0,307522.0,197406.0,471618.0,48620,1412008,1004282,49482,1521399,943506,49469,984299,668986,60009,1196376,778352
9,Hirundo rustica,Hirundinidae,15.0,259.0,0.0,298.0,15.0,767.0,2.0,495.0,391.0,760.0,1203.0,1910.0,262.0,2203.0,738.0,2549.0,5.0,1734.0,1186.0,3374.0,619.0,13780.0,1473.0,3359.0,826.0,4092.0,925.0,10385.0,1650.0,13858.0,4281.0,17578.0,3194.0,24204.0,2754.0,23223.0,6589.0,43404.0,6944.0,46539.0,11585,51075,452064,2561,2259095,1647381,316,2359306,1924509,13724,512728,1008163
10,Passer domesticus,Passeridae,31.0,259.0,110.0,1178.0,551.0,999.0,403.0,2322.0,151.0,3773.0,331.0,1486.0,612.0,2267.0,307.0,2171.0,1517.0,4708.0,1514.0,6526.0,1743.0,11706.0,952.0,9396.0,1597.0,12782.0,1632.0,16160.0,3635.0,26680.0,9736.0,50897.0,21613.0,77070.0,26478.0,118161.0,46413.0,178851.0,123525.0,291734.0,54454,2009256,1689213,42234,3012120,1643423,46890,1819235,1169230,71688,1557768,1066574
11,Podilymbus podiceps,Podicipedidae,10.0,124.0,117.0,347.0,390.0,781.0,234.0,531.0,636.0,1324.0,35.0,1122.0,59.0,591.0,54.0,1439.0,85.0,1250.0,150.0,848.0,108.0,1858.0,95.0,1416.0,117.0,2151.0,260.0,2413.0,336.0,3593.0,1479.0,5643.0,2563.0,8967.0,1843.0,8908.0,4411.0,15037.0,6442.0,19086.0,9719,901763,88337,7634,898159,82498,8839,339027,34109,11855,909691,66804
