,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
476,1994-03-19T00:00:00,,-17.5722,-67.3352,19,3,1994
1097,1998-11-22T00:00:00,,-22.5403,-59.6764,22,11,1998
2442,1998-03-02T00:00:00,1.0,-0.461269,-76.8774,2,3,1998
2853,1996-04-25T00:00:00,,-36.35,-56.8667,25,4,1996
4028,1991-11-08T00:00:00,8.0,-22.4075,-66.0055,8,11,1991
5910,1994-12-04T00:00:00,,-36.4833,-56.9833,4,12,1994
6825,1994-09-08T00:00:00,,-15.6512,-56.1205,8,9,1994
7609,1990-01-07T00:00:00,,-37.1149,-57.0694,7,1,1990
8521,1997-11-08T00:00:00,2.0,-22.4075,-66.0055,8,11,1997
8976,1995-10-21T00:00:00,2.0,-13.4016,-72.1284,21,10,1995
10128,1995-11-11T00:00:00,,-36.2941,-56.7756,11,11,1995
10596,1997-11-22T00:00:00,,-36.3848,-56.7066,22,11,1997
12906,1996-09-28T00:00:00,50.0,-31.3075,-50.9743,28,9,1996
13407,1991-10-01T00:00:00,10.0,-22.541,-59.2893,1,10,1991
14471,1998-11-06T00:00:00,,-26.43,-55.8,6,11,1998
16384,1993-12-16T00:00:00,2.0,-25.0222,-47.8983,16,12,1993
16442,1999-11-22T00:00:00,1.0,-34.6082,-58.354,22,11,1999
16719,1996-11-26T00:00:00,50.0,-36.3719,-56.7126,26,11,1996
17387,1995-11-12T00:00:00,,-36.4122,-56.9013,12,11,1995
17535,1999-07-17T00:00:00,,-27.16,-57.71,17,7,1999
18321,1997-11-08T00:00:00,2.0,-22.4075,-66.0055,8,11,1997
21089,1999-10-13T00:00:00,,-22.48,-57.8,13,10,1999
21453,1992-10-12T00:00:00,3.0,-37.7444,-57.427,12,10,1992
21671,1992-11-28T00:00:00,20.0,-34.8228,-58.06,28,11,1992
22863,1996-09-26T00:00:00,313.0,-37.4313,-57.1921,26,9,1996
23032,1997-03-03T00:00:00,45.0,-17.8927,-70.9921,3,3,1997
23381,1990-06-24T00:00:00,2.0,-22.7203,-47.3062,24,6,1990
24127,1991-11-03T00:00:00,1.0,-34.7917,-55.3972,3,11,1991
24177,1991-10-18T00:00:00,2.0,-34.7917,-55.3972,18,10,1991
24438,1994-11-12T00:00:00,23.0,-37.4313,-57.1921,12,11,1994
25053,1999-11-25T00:00:00,6.0,-36.2941,-56.7756,25,11,1999
25156,1996-01-19T00:00:00,,-22.7125,-65.6976,19,1,1996
