,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
72,3/2/2008 15:25,,-32.879795,-71.50613100000001,2.0,3.0,2008.0
75,3/25/2021 9:20,,,,25.0,3.0,2021.0
80,12/22/2020 6:23,,-35.679595,-63.70236800000001,22.0,12.0,2020.0
82,10/29/2019 7:44,,-28.705291,-53.682393999999995,29.0,10.0,2019.0
96,12/7/2020 17:17,,-35.416527,-57.13425600000001,7.0,12.0,2020.0
117,2/26/2012 14:01,,-11.121862,-76.117067,26.0,2.0,2012.0
122,1/1/2020 15:03,,-36.541345,-56.965753,1.0,1.0,2020.0
133,1/25/2020 19:07,,-31.383783,-60.906423,25.0,1.0,2020.0
145,12/26/2020 9:46,,-34.862163,-58.415436,26.0,12.0,2020.0
146,1/18/2020 16:18,,-34.606252000000005,-58.352579000000006,18.0,1.0,2020.0
165,10/1/2018 0:00,,-3.752281,-73.2374,1.0,10.0,2018.0
194,11/14/2010 0:00,5.0,-32.705482,115.71365,14.0,11.0,2010.0
299,1/31/2020 0:00,1.0,-35.791466,-57.402817000000006,31.0,1.0,2020.0
306,3/10/2018 0:00,6.0,-31.272609999999997,-60.62655,10.0,3.0,2018.0
324,10/12/2020 0:00,8.0,-33.66806,-61.45013,12.0,10.0,2020.0
334,12/27/2017 0:00,2.0,-29.600626000000002,-56.66628000000001,27.0,12.0,2017.0
376,3/31/2007 0:00,1.0,-33.835062,151.078336,31.0,3.0,2007.0
377,2/3/1973 0:00,,-32.865088,151.767806,3.0,2.0,1973.0
378,11/1/1989 0:00,5.0,-32.886093,151.787715,1.0,11.0,1989.0
379,1/11/1986 0:00,,-28.848309000000004,153.570053,11.0,1.0,1986.0
380,11/27/1988 0:00,,-32.865084,151.76780300000001,27.0,11.0,1988.0
381,4/6/2007 0:00,1.0,-33.835062,151.078336,6.0,4.0,2007.0
382,1/15/1977 0:00,,-34.031756,151.134492,15.0,1.0,1977.0
383,4/7/1996 0:00,1.0,-34.536727,146.434558,7.0,4.0,1996.0
385,10/25/1996 0:00,,-33.581759000000005,150.851158,25.0,10.0,1996.0
386,3/31/2007 0:00,1.0,-33.835062,151.078336,31.0,3.0,2007.0
387,11/7/1986 0:00,1.0,-34.543805,150.872823,7.0,11.0,1986.0
426,9/6/2016 0:00,20.0,-25.294167,-57.63316700000001,6.0,9.0,2016.0
435,12/10/2013 0:00,1.0,-35.314564000000004,149.16223,10.0,12.0,2013.0
465,2/26/2018 0:00,2.0,-12.22435,-76.98788499999999,26.0,2.0,2018.0
536,2/16/2020 0:00,8.0,-33.223343,-62.860133999999995,16.0,2.0,2020.0
599,6/24/2018 0:00,1.0,-13.702708,-76.21976,24.0,6.0,2018.0
625,8/18/1991 0:00,400.0,-4.895149,-74.43203000000001,18.0,8.0,1991.0
698,3/17/2011 0:00,,-5.713696,-78.63945,17.0,3.0,2011.0
715,11/2/2018 0:00,6.0,-34.608204,-58.35397,2.0,11.0,2018.0
732,9/3/2018 0:00,7.0,-25.363281,-57.300472,3.0,9.0,2018.0
764,11/16/2019 0:00,2.0,-31.637296999999997,-60.67374,16.0,11.0,2019.0
792,9/5/2020 0:00,11.0,-25.410093,-57.58184,5.0,9.0,2020.0
807,9/23/2003 0:00,112.0,-25.266666,-57.616665000000005,23.0,9.0,2003.0
821,2/4/2018 0:00,1.0,-12.218668,-76.9844,4.0,2.0,2018.0
902,10/16/2019 0:00,1.0,-18.41659,-70.32525,16.0,10.0,2019.0
920,12/29/2019 0:00,2.0,-33.866634000000005,-57.348693999999995,29.0,12.0,2019.0
942,2/25/2018 0:00,8.0,-14.758656,-71.44734,25.0,2.0,2018.0
1045,10/15/2020 0:00,30.0,-30.484135,-57.7791,15.0,10.0,2020.0
1055,12/26/2020 9:53,,-34.859628,-58.41530899999999,26.0,12.0,2020.0
1056,8/21/2013 7:18,,-8.994529,-69.42110699999999,21.0,8.0,2013.0
1062,8/31/2019 16:53,,-8.335264,-74.570709,31.0,8.0,2019.0
1082,11/15/2005 0:00,1.0,-26.752159999999996,139.4233,15.0,11.0,2005.0
1084,2/12/1983 0:00,12.0,-37.510690000000004,140.1461,12.0,2.0,1983.0
1085,2/1/1980 0:00,2.0,-34.71648,138.56593,1.0,2.0,1980.0
1086,1/16/1993 0:00,1.0,-34.71648,138.56593,16.0,1.0,1993.0
1087,2/6/1982 0:00,1.0,-35.62957,139.2461,6.0,2.0,1982.0
1088,12/16/1982 0:00,1.0,-35.3963,138.90628999999998,16.0,12.0,1982.0
1089,3/24/2010 0:00,2.0,-34.32718,140.56373,24.0,3.0,2010.0
1090,1/9/2006 0:00,1.0,-34.83119,138.57482,9.0,1.0,2006.0
1091,4/5/1998 0:00,1.0,-34.759840000000004,138.52399,5.0,4.0,1998.0
1092,11/16/1982 0:00,3.0,-35.82553,137.53635,16.0,11.0,1982.0
1093,11/27/2015 0:00,1.0,-34.83024,138.52453,27.0,11.0,2015.0
1094,11/15/1998 0:00,11.0,-35.36377,139.1416,15.0,11.0,1998.0
1095,11/1/1982 0:00,1.0,-35.91,137.41,1.0,11.0,1982.0
1096,1/6/2006 0:00,1.0,-35.49964,139.04535,6.0,1.0,2006.0
1097,2/29/2004 0:00,1.0,-35.36985,139.14443,29.0,2.0,2004.0
1098,11/16/1997 0:00,1.0,-34.71648,138.56593,16.0,11.0,1997.0
1099,1/1/1984 0:00,,-34.65854,138.45136000000002,1.0,1.0,1984.0
1100,10/13/2015 0:00,2.0,-34.7282,138.51677,13.0,10.0,2015.0
1101,1/1/1985 0:00,,-34.72854,138.53136,1.0,1.0,1985.0
1200,10/21/2019 14:13,,-36.881063,174.872572,21.0,10.0,2019.0
1201,8/23/2020 9:03,,-11.006777,-66.09914,23.0,8.0,2020.0
1207,1/9/2021 12:58,,-33.674341999999996,-61.461180000000006,9.0,1.0,2021.0
1226,11/27/2019 11:45,,-35.315267999999996,149.161788,27.0,11.0,2019.0
1232,8/27/2020 16:20,,-33.061797,-60.7705,27.0,8.0,2020.0
1233,2/18/2020 19:03,,-34.183501,-61.936416,18.0,2.0,2020.0
1506,11/27/2002 0:00,7.0,-33.67342,136.95486,27.0,11.0,2002.0
1507,1/18/2015 0:00,1.0,-33.45669,134.88451,18.0,1.0,2015.0
1508,10/14/2013 0:00,2.0,-31.20652,137.59061,14.0,10.0,2013.0
1509,2/4/1996 0:00,1.0,-34.316829999999996,137.99708,4.0,2.0,1996.0
1510,3/17/2006 0:00,1.0,-34.316829999999996,137.99708,17.0,3.0,2006.0
1511,12/3/1985 0:00,,-34.65854,138.46136,3.0,12.0,1985.0
1512,11/27/2014 0:00,1.0,-34.83024,138.52453,27.0,11.0,2014.0
1513,10/16/2003 0:00,,-34.69778,138.48028,16.0,10.0,2003.0
1514,11/11/1996 0:00,2.0,-34.80744,138.59835,11.0,11.0,1996.0
1515,1/9/2005 0:00,1.0,-34.64493,138.47624,9.0,1.0,2005.0
1516,12/1/1985 0:00,,-34.70854,138.51136,1.0,12.0,1985.0
1517,3/9/1986 0:00,1.0,-34.316829999999996,137.99708,9.0,3.0,1986.0
1518,4/12/1981 0:00,1.0,-34.71648,138.56593,12.0,4.0,1981.0
1519,11/8/1998 0:00,2.0,-34.827709999999996,138.58343,8.0,11.0,1998.0
1520,1/22/2000 0:00,1.0,-34.31873,137.99001,22.0,1.0,2000.0
1521,1/14/1996 0:00,3.0,-34.71648,138.56593,14.0,1.0,1996.0
1669,1/25/2020 0:00,4.0,-12.223927999999999,-76.986436,25.0,1.0,2020.0
1765,12/2/2000 0:00,,-38.06459,145.16881999999998,2.0,12.0,2000.0
1766,1/21/1978 0:00,,-38.08183,144.58466,21.0,1.0,1978.0
1767,11/6/2000 0:00,,-36.15447,146.57602,6.0,11.0,2000.0
1768,3/30/2019 0:00,1.0,-37.99792,144.59175,30.0,3.0,2019.0
1769,1/1/2018 0:00,1.0,-37.99792,144.59175,1.0,1.0,2018.0
1770,1/9/2007 0:00,1.0,-38.0482,144.5049,9.0,1.0,2007.0
1771,4/10/2018 0:00,1.0,-37.99731,145.13025,10.0,4.0,2018.0
1772,2/17/2001 0:00,,-38.24337,144.42053,17.0,2.0,2001.0
1773,3/2/2019 0:00,1.0,-35.8075,143.8639,2.0,3.0,2019.0
1774,2/14/2016 0:00,1.0,-37.91372,144.64476000000002,14.0,2.0,2016.0
1775,3/25/1993 0:00,1.0,-38.353640000000006,142.31814,25.0,3.0,1993.0
1776,1/2/1989 0:00,2.0,-36.49031,144.80919,2.0,1.0,1989.0
1777,12/9/2017 0:00,1.0,-37.997859999999996,144.64708000000002,9.0,12.0,2017.0
1778,2/4/2018 0:00,1.0,-37.99792,144.59175,4.0,2.0,2018.0
1779,11/30/2018 0:00,1.0,-38.309329999999996,143.59268,30.0,11.0,2018.0
1780,1/26/2018 0:00,1.0,-37.97992,144.56194,26.0,1.0,2018.0
1781,11/14/2007 0:00,,-37.90528,144.65694,14.0,11.0,2007.0
1782,12/1/2018 0:00,1.0,-37.99792,144.59175,1.0,12.0,2018.0
1783,1/24/2019 0:00,1.0,-37.99792,144.59175,24.0,1.0,2019.0
1784,11/26/2018 0:00,1.0,-37.99792,144.59175,26.0,11.0,2018.0
1785,4/5/2018 0:00,1.0,-37.99731,145.13025,5.0,4.0,2018.0
1786,4/1/1992 0:00,1.0,-38.11813,144.63481000000002,1.0,4.0,1992.0
1787,1/1/1971 0:00,,-35.65833,143.84167,1.0,1.0,1971.0
1788,1/30/2000 0:00,,-38.205529999999996,144.42073,30.0,1.0,2000.0
