,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
5220,1979-12-16T00:00:00,32.0,-34.7917,-55.3972,16,12,1979
6213,1976-11-04T00:00:00,2.0,-11.1468,-66.167,4,11,1976
10879,1973-11-23T00:00:00,350.0,-36.4686,-57.3407,23,11,1973
11273,1979-11-18T00:00:00,1.0,-6.911560000000001,-79.8897,18,11,1979
12038,1979-10-27T00:00:00,26.0,-34.7917,-55.3972,27,10,1979
12340,1979-12-02T00:00:00,3.0,-34.7917,-55.3972,2,12,1979
15644,1973-10-13T00:00:00,20.0,-37.4105,-57.2144,13,10,1973
17885,1976-11-08T00:00:00,2.0,-11.1468,-66.167,8,11,1976
20215,1979-12-09T00:00:00,38.0,-34.7917,-55.3972,9,12,1979
21454,1979-12-23T00:00:00,31.0,-34.7917,-55.3972,23,12,1979
26304,1978-11-25T00:00:00,39.0,-34.7917,-55.3972,25,11,1978
28072,1973-10-12T00:00:00,106.0,-36.4668,-57.1725,12,10,1973
28574,1973-10-20T00:00:00,10.0,-40.5235,-62.3583,20,10,1973
30703,1973-03-02T00:00:00,5.0,-8.431410000000001,-78.9241,2,3,1973
32320,1979-11-02T00:00:00,6.0,-34.7917,-55.3972,2,11,1979
36149,1973-12-01T00:00:00,300.0,-37.4313,-57.1921,1,12,1973
37068,1974-09-26T00:00:00,50.0,-37.4313,-57.1921,26,9,1974
49529,1973-10-16T00:00:00,30.0,-37.5889,-57.3751,16,10,1973
58153,1973-10-15T00:00:00,50.0,-37.5889,-57.3751,15,10,1973
62992,1973-10-22T00:00:00,1.0,-42.463,-64.1045,22,10,1973
71599,1973-10-13T00:00:00,20.0,-37.4313,-57.1921,13,10,1973
72215,1973-11-22T00:00:00,2.0,-36.3119,-57.5539,22,11,1973
72917,1979-11-10T00:00:00,27.0,-34.7917,-55.3972,10,11,1979
75543,1979-09-15T00:00:00,2.0,-34.7917,-55.3972,15,9,1979
82752,1974-06-03T00:00:00,1.0,-17.1384,-71.8702,3,6,1974
84203,1973-10-13T00:00:00,30.0,-36.9674,-57.1193,13,10,1973
84234,1978-09-23T00:00:00,36.0,-34.7917,-55.3972,23,9,1978
84917,1977-01-26T00:00:00,1.0,-17.4078,-66.138,26,1,1977
85289,1978-11-11T00:00:00,39.0,-34.7917,-55.3972,11,11,1978
85625,1973-10-16T00:00:00,30.0,-37.4105,-57.2144,16,10,1973
88596,1973-10-13T00:00:00,35.0,-36.7619,-57.2357,13,10,1973
94458,1973-11-29T00:00:00,300.0,-37.4313,-57.1921,29,11,1973
96498,1973-10-17T00:00:00,120.0,-37.4313,-57.1921,17,10,1973
96893,1974-11-03T00:00:00,5.0,-4.20165,-69.9465,3,11,1974
97924,1973-10-17T00:00:00,15.0,-37.5889,-57.3751,17,10,1973
99963,1973-11-25T00:00:00,150.0,-37.4313,-57.1921,25,11,1973
103086,1979-12-26T00:00:00,11.0,-34.7917,-55.3972,26,12,1979
106378,1973-11-29T00:00:00,200.0,-37.4313,-57.1921,29,11,1973
107725,1976-11-03T00:00:00,20.0,-17.4078,-66.138,3,11,1976
108515,1978-12-02T00:00:00,12.0,-34.7917,-55.3972,2,12,1978
113098,1973-11-24T00:00:00,30.0,-37.4313,-57.1921,24,11,1973
113786,1979-11-18T00:00:00,1.0,-6.911560000000001,-79.8897,18,11,1979
120944,1973-10-14T00:00:00,20.0,-37.5889,-57.3751,14,10,1973
126964,1973-10-11T00:00:00,8.0,-36.2941,-56.7756,11,10,1973
127565,1979-05-26T00:00:00,,-12.2122,-77.0186,26,5,1979
129004,1976-11-01T00:00:00,40.0,-17.4078,-66.138,1,11,1976
134357,1979-12-21T00:00:00,7.0,-34.7917,-55.3972,21,12,1979
134555,1979-08-30T00:00:00,5.0,-6.913310000000001,-79.8812,30,8,1979
