,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
498,2/21/2020 0:00,1.0,-33.19113,-63.966618000000004,21.0,2.0,2020.0
887,12/14/2020 0:00,15.0,-24.062445,-64.57582,14.0,12.0,2020.0
1298,1/1/1987 0:00,1.0,,,,,1987.0
1587,1/7/2010 0:00,1.0,-33.03572,-54.405285,7.0,1.0,2010.0
1675,11/20/2020 0:00,50.0,-28.228802,-61.687416000000006,20.0,11.0,2020.0
2692,12/17/2020 0:00,2.0,-34.461372,-57.724022,17.0,12.0,2020.0
2853,7/9/2008 0:00,1.0,,,9.0,7.0,2008.0
2989,7/9/2008 0:00,1.0,,,9.0,7.0,2008.0
3028,8/1/1994 0:00,0.0,,,,8.0,1994.0
3060,7/9/2008 0:00,1.0,,,9.0,7.0,2008.0
3916,1/17/2016 0:00,1.0,-38.213207000000004,-58.961830000000006,17.0,1.0,2016.0
3924,2/11/2017 0:00,1.0,-38.6008,-58.945465000000006,11.0,2.0,2017.0
4097,11/28/2018 0:00,18.0,-31.101564,-62.67699,28.0,11.0,2018.0
4268,2/6/2018 0:00,10.0,-31.866684000000003,-58.20966,6.0,2.0,2018.0
4412,1/7/2016 0:00,24.0,-33.987567999999996,-58.214752000000004,7.0,1.0,2016.0
4732,4/11/2017 0:00,8.0,-28.2485,-57.4145,11.0,4.0,2017.0
5012,12/2/2002 0:00,18.0,-32.988228,-60.75131,2.0,12.0,2002.0
5119,11/21/2020 0:00,1.0,-31.35025,-60.365680000000005,21.0,11.0,2020.0
5588,1/15/2012 0:00,10.0,-34.19895,-58.881783,15.0,1.0,2012.0
5668,1/24/2020 0:00,1.0,-29.936068,-50.2553,24.0,1.0,2020.0
5821,11/10/2019 0:00,12.0,-33.255207,-57.099636,10.0,11.0,2019.0
6463,12/9/2013 0:00,1.0,-29.087921,-50.11877,9.0,12.0,2013.0
6567,12/8/2018 0:00,6.0,-32.328926,-63.26529,8.0,12.0,2018.0
6958,11/17/2008 0:00,1.0,-17.773535,-63.068656999999995,17.0,11.0,2008.0
7608,11/6/2009 0:00,2.0,-36.386272,-56.803031999999995,6.0,11.0,2009.0
8105,12/11/2017 0:00,1.0,-33.076405,-63.283276,11.0,12.0,2017.0
8614,11/20/2020 0:00,50.0,-28.228802,-61.687416000000006,20.0,11.0,2020.0
8651,11/21/2015 0:00,3.0,-38.530834000000006,-58.9295,21.0,11.0,2015.0
9376,3/18/2016 0:00,1.0,-37.998325,-65.599365,18.0,3.0,2016.0
9475,2/15/2018 0:00,10.0,-33.311142,-56.60876999999999,15.0,2.0,2018.0
9571,11/18/2015 0:00,26.0,-31.7806,-63.6663,18.0,11.0,2015.0
