long,lat,intensity
-180.0,90.0,56325.69242082582
-180.0,89.0,56480.544270754624
-180.0,88.0,56626.43022418797
-180.0,87.0,56762.32981687397
-180.0,86.0,56887.18239872841
-180.0,85.0,56999.890461990304
-180.0,84.0,57099.323985136965
-180.0,83.0,57184.32596603796
-180.0,82.0,57253.71928300804
-180.0,81.0,57306.31497732684
-180.0,80.0,57340.92199714575
-180.0,79.0,57356.358382728315
-180.0,78.0,57351.46380929413
-180.0,77.0,57325.113339233925
-180.0,76.0,57276.23217312956
-180.0,75.0,57203.811131774564
-180.0,74.0,57106.922551961725
-180.0,73.0,56984.73623955071
-180.0,72.0,56836.53509612814
-180.0,71.0,56661.73002174506
-180.0,70.0,56459.87369648295
-180.0,69.0,56230.672858026395
-180.0,68.0,55973.99872050324
-180.0,67.0,55689.895220499755
-180.0,66.0,55378.58482781865
-180.0,65.0,55040.471719271285
-180.0,64.0,54676.14218134952
-180.0,63.0,54286.36217959564
-180.0,62.0,53872.07210639096
-180.0,61.0,53434.37879225374
-180.0,60.0,52974.54493620672
-180.0,59.0,52493.97617618667
-180.0,58.0,51994.20607886571
-180.0,57.0,51476.879378010104
-180.0,56.0,50943.73383027029
-180.0,55.0,50396.58108609441
-180.0,54.0,49837.286990630346
-180.0,53.0,49267.75173473651
-180.0,52.0,48689.890269601296
-180.0,51.0,48105.61338035621
-180.0,50.0,47516.809785162746
-180.0,49.0,46925.329587579254
-180.0,48.0,46332.9693628684
-180.0,47.0,45741.45910487797
-180.0,46.0,45152.45120102294
-180.0,45.0,44567.511540731444
-180.0,44.0,43988.11279964291
-180.0,43.0,43415.62988009507
-180.0,42.0,42851.337430220956
-180.0,41.0,42296.409311432115
-180.0,40.0,41751.91983909199
-180.0,39.0,41218.84658541598
-180.0,38.0,40698.07450827517
-180.0,37.0,40190.40115537138
-180.0,36.0,39696.54269037185
-180.0,35.0,39217.14049566262
-180.0,34.0,38752.768124434166
-180.0,33.0,38303.93840134812
-180.0,32.0,37871.11050407801
-180.0,31.0,37454.696895237255
-180.0,30.0,37055.07001301641
