,Galaxy ID,SDSS ID,RA,DEC,Black Hole Mass,Stellar Velocity Dispersion,Stellar Mass,SFR,Ref,Unnamed: 9,#VALUE!,Unnamed: 11,Unnamed: 12
0,G1,J152143.15+054033.9,230.42981,5.6760783,9.182475816,191.504422374992,10.63628993,0.842184081,5.0,,0.079180249,,0.222267878
1,G6,J152509.01+012624.4,231.28754,1.4401115,8.370138088,272.162147279639,11.31444393,1.381459749,5.0,,0.122097008,,
2,G7,J135012.25+181258.9,207.55104,18.216352,8.798377887,266.402456910328,11.17862644,1.597861134,5.0,,0.142938951,,
3,G8,J170601.87+601732.4,256.50778,60.292328,8.298317784,80.78462808968311,10.48008911,0.450367215,5.0,,0.042973606,,
4,G10,J140404.19+464209.7,211.01746,46.7027,8.443026059,228.311233825955,10.7671171,1.403517294,5.0,,0.13035219,,
5,G13,J124853.90+342429.5,192.2246,34.408188,8.649094167,339.281309611545,11.04596773,1.680896373,5.0,0.225776301,0.152172848,,
6,G16,J094822.44+684835.1,147.0935,68.80975,8.825557589,198.777296849236,10.7797852,0.674178143,5.0,,0.062540963,,
7,G17,J154806.06+194100.4,237.02525,19.683435,8.643499387,303.20275307937,10.97368309,1.378916496,5.0,,0.125656672,,
8,G22,J145026.65+583944.9,222.61105,58.662476,8.66513635,174.405721189989,10.78288877,1.391183594,5.0,,0.129017708,,
9,G23,J151859.10+472750.4,229.74625,47.46401,8.571051224,152.814534393944,10.67183188,-0.179327891,5.0,,-0.016803853,,
10,G24,J140734.82+135101.0,211.89508,13.850291,8.606093588,201.545610859131,10.62900384,0.383496891,5.0,,0.036080229,,
11,G25,J102147.86+131228.2,155.44942,13.207831,8.490325615,155.887697342242,10.92081945,0.231593355,5.0,,0.021206591,,
12,G26,J083939.91+353915.1,129.9163,35.654182,8.215656652,142.971426033598,10.90111832,1.150312952,5.0,,0.105522472,,
13,G29,J092918.35+041933.4,142.32646,4.3259344,8.472974933,300.827201591959,11.03906347,1.589509202,5.0,,0.143989498,,
14,G30,J091600.77+352853.3,139.00319,35.481483,8.510485323,158.523360472523,10.78649052,0.827634049,5.0,,0.076728761,,
15,G32,J141710.53+050911.1,214.29385,5.1530905,8.59448229,164.074470378275,10.67647225,0.81777503,5.0,,0.076595996,,
16,G33,J133933.99+554614.2,204.89162,55.770607,7.260795725,146.105986064012,10.13329901,-0.663971471,5.0,,-0.065523722,,
17,G34,J142253.47+473252.3,215.72281,47.547863,8.442339119,215.901363517696,10.54279367,0.124050435,5.0,,0.011766372,,
18,G35,J153129.40+485556.4,232.87251,48.932327,8.23443835,118.198427995705,10.93419747,-0.563844161,5.0,,-0.051567037,,
19,G36,J110537.63+585120.7,166.40678,58.855762,8.503981992,193.953412995038,11.09745006,-0.100432555,5.0,,-0.009050057,,
20,G38,J080745.06+240924.2,121.93774,24.156713,8.344630656,225.918562790461,10.54940872,0.863245631,5.0,,0.081828817,,
21,G39,J101405.89+000620.3,153.52455,0.10564722,8.812997282,250.309833396755,10.68704657,0.784883739,5.0,,0.07344253,,
22,G40,J084243.15+283940.3,130.67981,28.66119,8.046751317,137.694348320781,10.34626581,0.663974561,5.0,,0.064175285,,
23,G41,J111803.23+450646.8,169.51344,45.113003,8.154128405,253.922991262438,11.06924709,1.021433506,5.0,,0.092276692,,
24,G42,J082942.67+415436.9,127.42778,41.910244,8.683482122,185.586418497741,10.55590189,1.089017666,5.0,,0.10316671,,
25,G43,J152434.06+491122.2,231.14194,49.18949,8.398322874,234.436401647983,10.75451857,-0.168860731,5.0,,-0.015701375,,
26,G44,J102848.19+125637.1,157.20079,12.943641,8.575875158,201.591193069989,10.71633926,0.680525435,5.0,,0.063503536,,
27,G45,J083917.36+392817.9,129.82233,39.47165,8.421164611,141.520799249327,10.82085387,0.775591239,5.0,,0.071675604,,
