,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
37,2013-10-02T00:00:00,80.0,-25.2667,-57.6167,2,10,2013
47,2013-02-16T00:00:00,2.0,-30.8069,-62.8778,16,2,2013
63,2014-07-20T00:00:00,1.0,-38.7925,-73.3959,20,7,2014
74,2016-01-23T00:00:00,3.0,-35.7792,-57.3939,23,1,2016
113,2014-09-21T00:00:00,1.0,-13.7433,-66.078,21,9,2014
148,2018-03-25T00:00:00,8.0,-12.2853,-76.8809,25,3,2018
158,2014-11-14T00:00:00,1.0,-18.4161,-70.3216,14,11,2014
208,2010-11-30T00:00:00,6.0,-36.2941,-56.7756,30,11,2010
245,2018-01-04T00:00:00,7.0,-18.4165,-70.3224,4,1,2018
313,2017-11-01T00:00:00,1.0,-23.7196,-46.7166,1,11,2017
314,2016-11-20T00:00:00,1.0,-31.2333,-60.5333,20,11,2016
348,2019-12-28T00:00:00,23.0,-30.2238,-60.0137,28,12,2019
362,2017-01-16T00:00:00,,-31.0481,-50.9908,16,1,2017
371,2018-11-03T00:00:00,2.0,-36.4876,-57.0045,3,11,2018
376,2019-01-27T00:00:00,2.0,-37.4319,-57.1917,27,1,2019
394,2019-01-20T00:00:00,3.0,-34.8019,-55.3844,20,1,2019
407,2014-11-04T00:00:00,111.0,-36.35,-56.8667,4,11,2014
408,2019-10-30T00:00:00,1.0,-13.436,-72.1304,30,10,2019
422,2019-01-18T00:00:00,1.0,-21.4298,-70.0568,18,1,2019
592,2016-03-13T00:00:00,1.0,-29.3065,-71.3632,13,3,2016
608,2019-10-31T00:00:00,3.0,-35.1257,-57.8124,31,10,2019
652,2019-10-08T00:00:00,2.0,-34.8783,-54.9155,8,10,2019
669,2017-11-24T00:00:00,2.0,-34.6183,-54.2921,24,11,2017
712,2018-02-01T00:00:00,10.0,-31.2563,-50.9829,1,2,2018
789,2019-11-03T00:00:00,1.0,-4.69267,-37.3663,3,11,2019
791,2013-09-07T00:00:00,20.0,-1.02614,-46.9644,7,9,2013
793,2019-11-03T00:00:00,60.0,-34.6808,-54.2956,3,11,2019
803,2019-02-14T00:00:00,5.0,-34.6643,-54.1732,14,2,2019
848,2019-10-19T00:00:00,1.0,-25.276,-57.6327,19,10,2019
856,2018-05-05T00:00:00,2.0,-32.1927,-64.2556,5,5,2018
865,2018-02-12T00:00:00,15.0,-37.4313,-57.1921,12,2,2018
894,2019-04-06T00:00:00,2.0,-23.0946,-70.4331,6,4,2019
899,2018-12-28T00:00:00,10.0,-32.2952,-52.9002,28,12,2018
907,2016-10-22T00:00:00,3.0,-24.2955,-47.0312,22,10,2016
917,2018-02-17T00:00:00,1.0,-31.94,-52.7539,17,2,2018
1086,2018-10-19T00:00:00,1.0,-6.801939999999999,-79.9503,19,10,2018
1108,2010-02-15T00:00:00,1.0,-6.9073,-79.8923,15,2,2010
1109,2016-01-31T00:00:00,1.0,-23.0477,-43.5569,31,1,2016
1120,2018-03-27T00:00:00,3.0,-30.8675,-60.1355,27,3,2018
1130,2018-04-03T00:00:00,4.0,-0.10984200000000001,-78.365,3,4,2018
1132,2017-12-29T00:00:00,1.0,-0.513947,-78.1866,29,12,2017
1136,2011-12-04T00:00:00,8.0,-25.2667,-57.6167,4,12,2011
1147,2019-03-24T00:00:00,1.0,-36.2941,-56.7756,24,3,2019
1158,2013-07-27T00:00:00,1.0,-38.7561,-73.4184,27,7,2013
1177,2017-03-04T00:00:00,7.0,-37.7444,-57.427,4,3,2017
1179,2017-09-16T00:00:00,4.0,-3.25295,-59.9606,16,9,2017
1188,2019-12-28T00:00:00,6.0,-30.4775,-59.9793,28,12,2019
1213,2017-10-16T00:00:00,4.0,-34.8737,-56.2166,16,10,2017
1223,2019-10-01T00:00:00,12.0,-25.276,-57.6327,1,10,2019
1241,2019-02-17T00:00:00,1.0,-23.7033,-70.4247,17,2,2019
1292,2015-03-14T00:00:00,1.0,-30.118000000000002,-71.3705,14,3,2015
1307,2014-02-09T00:00:00,6.0,-34.9971,-72.1806,9,2,2014
1329,2013-01-28T00:00:00,500.0,-34.6183,-54.2921,28,1,2013
1349,2019-01-27T00:00:00,62.0,-37.4319,-57.1917,27,1,2019
1383,2019-10-15T00:00:00,1.0,-24.2201,-46.8499,15,10,2019
1418,2015-11-05T00:00:00,1.0,-18.4165,-70.3224,5,11,2015
1451,2017-10-21T00:00:00,1.0,-30.9458,-62.7124,21,10,2017
1462,2018-09-08T00:00:00,2.0,-34.9076,-54.8765,8,9,2018
1470,2018-11-25T00:00:00,2.0,-34.8783,-54.9155,25,11,2018
