,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
15,12/6/2019 0:00,2.0,-34.031985999999996,-53.540282999999995,6.0,12.0,2019.0
37,1/16/2019 0:00,30.0,-51.646175,-69.23655,16.0,1.0,2019.0
44,1/19/2011 0:00,1.0,-54.83738,-68.35103000000001,19.0,1.0,2011.0
56,11/7/2020 0:00,11.0,-51.646225,-69.237495,7.0,11.0,2020.0
66,12/1/2020 0:00,41.0,-34.878296,-54.915516000000004,1.0,12.0,2020.0
106,4/11/1970 0:00,1.0,,,11.0,4.0,1970.0
109,2/23/1992 0:00,1.0,,,23.0,2.0,1992.0
137,12/27/2018 0:00,150.0,-51.625477000000004,-69.193954,27.0,12.0,2018.0
154,2/8/2019 0:00,20.0,-52.47461,-69.37943,8.0,2.0,2019.0
172,12/5/2018 0:00,20.0,-52.596540000000005,-70.25923,5.0,12.0,2018.0
179,2/11/2020 0:00,20.0,-52.478744999999996,-71.32106,11.0,2.0,2020.0
192,3/16/1982 0:00,55.0,-37.729424,-57.436028,16.0,3.0,1982.0
198,11/27/2001 0:00,20.0,-54.83738,-68.55941,27.0,11.0,2001.0
200,10/25/1990 0:00,1.0,-34.79167,-55.397156,25.0,10.0,1990.0
203,11/21/2015 0:00,4.0,-38.656895,-59.005680000000005,21.0,11.0,2015.0
217,12/5/2019 0:00,1.0,-52.14648,-71.36668,5.0,12.0,2019.0
249,9/19/1987 0:00,1.0,-25.497156,-57.455513,19.0,9.0,1987.0
271,1/6/2015 0:00,1.0,-34.95349,150.7628,6.0,1.0,2015.0
348,12/15/2020 0:00,6.0,-52.118072999999995,-71.260315,15.0,12.0,2020.0
353,2/15/2018 0:00,4.0,-51.66518,-69.20389,15.0,2.0,2018.0
368,3/19/2017 0:00,40.0,-36.294113,-56.775604,19.0,3.0,2017.0
412,1/18/2016 0:00,400.0,-45.126595,-66.53655,18.0,1.0,2016.0
444,3/17/2017 0:00,6.0,-53.13749,-70.25484499999999,17.0,3.0,2017.0
459,2/20/2016 0:00,7.0,-53.116234,-70.8813,20.0,2.0,2016.0
488,2/11/2020 0:00,2.0,-39.052566999999996,-70.348114,11.0,2.0,2020.0
494,11/15/2017 0:00,20.0,-53.339516,-69.7507,15.0,11.0,2017.0
496,10/4/2020 0:00,2.0,-25.267828,-57.61260600000001,4.0,10.0,2020.0
498,10/3/2020 0:00,22.0,-31.231077000000003,-60.514340000000004,3.0,10.0,2020.0
